"metadata.Interoperability:Resolution Unit",79
"metadata.CHECKED_BY",7
"metadata.Firmware Name",262
"metadata.Unknown tag (0x0331)",40
"metadata.Unknown tag (0x312d)",5
"metadata.Exif SubIFD:Unknown tag (0xa617)",27
"metadata.Unknown tag (0xc259)",1
"metadata.Interoperability:Related Image File Format",3632
"metadata.ICC:Unknown tag (0x4d533030)",225
"metadata.Exif IFD0:JPEG Restart Interval",6
"metadata.Exif IFD0:Unknown tag (0xc7a4)",1
"metadata.Unknown tag (0x9412)",6329
"metadata.Unknown tag (0xd26a)",3
"metadata.Unknown tag (0xc3c1)",1
"metadata.Exif Thumbnail:Unknown tag (0x80a6)",1
"metadata.Unknown tag (0x0028)",14531
"metadata.Unknown tag (0x02c2)",1
"metadata.Unknown tag (0xc19f)",1
"metadata.Camera Owner Name",6057
"metadata.WB G Level 6600K",6
"metadata.Auto Exposure Bracketing",34124
"metadata.Unknown tag (0x9413)",52
"metadata.Exif IFD0:Unknown tag (0x5741)",207
"metadata.Exif SubIFD:Unknown tag (0xa618)",27
"metadata.Auto Focus Mode",45
"metadata.Raw Dev Noise Reduction",497
"metadata.Exif Image:Fill Order",62
"metadata.Unknown tag (0xc258)",1
"metadata.Unknown tag (0x0332)",11
"metadata.ICC:Luminance",811792
"metadata.xmpMM:History:SoftwareAgent",43360
"metadata.Exif Thumbnail:Y Resolution",1650351
"metadata.Unknown tag (0xa033)",1
"metadata.Exif IFD0:Unknown tag (0xc44f)",1
"metadata.Exif SubIFD:Unknown tag (0xa42a)",24
"metadata.Unknown tag (0xc3c0)",1
"metadata.WB RB Levels CWB3",39
"metadata.Last-Author",3602
"metadata.WB RB Levels CWB4",39
"size",78796415
"metadata.White Balance (Red)",3363
"nfsw.classification.porn",11576825
"metadata.WB RB Levels CWB1",39
"metadata.WB RB Levels CWB2",39
"metadata.Focus Range",122
"metadata.WB RB Levels 3900K",39
"metadata.Contact",1007
"metadata.Unknown tag (0x02c3)",1
"metadata.GPS Img Direction",1352
"metadata.Unknown tag (0x0029)",261
"metadata.Exif SubIFD:Unknown tag (0x9200)",5
"metadata.Unknown tag (0x87af)",1
"metadata.Exif SubIFD:Makernote",119498
"metadata.Unknown tag (0xc19e)",1
"metadata.VR Info",8946
"metadata.Exif SubIFD:Unknown tag (0xa619)",27
"metadata.Unknown tag (0xc124)",34081
"metadata.Unknown tag (0x9414)",52
"metadata.Unknown tag (0x0200)",3507
"metadata.Unknown tag (0xc257)",1
"metadata.Unknown tag (0x0333)",6
"metadata.Profile Date/Time",337225
"metadata.Target Exposure Time",34134
"metadata.Exif SubIFD:Unknown tag (0xa42b)",24
"metadata.ICC:Unknown tag (0x4d533032)",8
"metadata.000",8
"metadata.Unknown tag (0xc1e9)",1
"metadata.Unknown tag (0x02c4)",1
"metadata.Nikon Capture Version",1492
"metadata.Unknown tag (0x8216)",60
"metadata.Unknown tag (0xc19d)",1
"metadata.Unknown tag (0x080a)",97
